id,orden,año,fecha,Cargo,Nombre,fn,edad,Partido,Partido,Estado,fecha_endoso,link,
108,6,2020,,Senador,Claudio Alvarado Andrade,07/02/1960,60,Unión Demócrata Independiente,UDI,sin info,,,
109,7,2020,18/08/2020,Diputado,Diego Ibáñez Cotroneo,25/01/1989,31,Convergencia Social,CS,Apruebo,,Twitter,
110,7,2020,18/08/2020,Diputado,Gabriel Boric Font,11/02/1986,34,Convergencia Social,CS,Apruebo,,Instagram,
111,7,2020,18/08/2020,Diputado,Gonzalo Winter Etcheberry,06/01/1987,33,Convergencia Social,CS,Apruebo,,Instagram,
112,7,2020,18/08/2020,Diputado,Sebastián Keitel Bianchi,14/02/1973,47,Evolución Política,EVO,Apruebo,24/07/2020,Nuevo Poder,
113,7,2020,18/08/2020,Diputado,Pablo Kast Sommerhoff,24/08/1973,47,Evolución Política,EVO,Apruebo,24/07/2020,Nuevo Poder,
114,7,2020,18/08/2020,Diputado,Sebastían Álvarez Ramírez,13/11/1970,50,Evolución Política,EVO,Rechazo,24/07/2020,La Tercera,
115,7,2020,18/08/2020,Diputado,Luciano Cruz-Coke Carvallo,01/07/1970,50,Evolución Política,EVO,Rechazo,24/07/2020,La Tercera,
116,7,2020,18/08/2020,Diputado,Andrés Molina Magofke,17/11/1963,57,Evolución Política,EVO,Rechazo,24/07/2020,La Tercera,
117,7,2020,18/08/2020,Diputado,Francisco Undurraga Gazitúa,29/09/1965,55,Evolución Política,EVO,Rechazo,24/07/2020,La Tercera,
118,7,2020,18/08/2020,Diputado,Jaime Mulet Martínez,03/08/1963,57,Federación Regionalista Verde Social,FRVS,Apruebo,,Instagram,
119,7,2020,19/08/2020,Diputado,Alejandra Sepúlveda Orbenes,13/11/1965,55,Federación Regionalista Verde Social,FRVS,Apruebo,19/08/2020,T13,
120,7,2020,19/08/2020,Diputado,Pedro Velasquez Seguel,05/08/1964,56,Federación Regionalista Verde Social,FRVS,Apruebo,19/08/2020,T13,
121,7,2020,19/08/2020,Diputado,Esteban Velásquez Núñez,26/12/1962,58,Federación Regionalista Verde Social,FRVS,Apruebo,19/08/2020,T13,
122,7,2020,18/08/2020,Diputado,Karim Bianchi Retamales,31/01/1983,37,Independiente,IND,Apruebo,,Instagram,
123,7,2020,,Diputado,Rene Saffirio Espinoza,09/10/1955,65,Independiente,IND,sin info,,,
124,7,2020,18/08/2020,Diputado,Camila Vallejo Dowling,28/04/1988,32,Partido Comunista de Chile,PC,Apruebo,,Twitter,
125,7,2020,18/08/2020,Diputado,Karol Cariola Oliva,01/04/1987,33,Partido Comunista de Chile,PC,Apruebo,,Instagram,
