id,orden,Cargo,Nombre,fn,edad,Partido,Partido,registro,Candidato,fecha_endoso,link,link,
78,5,Senador,José Durana,27/06/1960,61,Unión Demócrata Independiente,UDI,1,J. Lavín,25/06/2021,https://twitter.com/Duranasenador,.,
79,5,Senador,Luz Ebensperger,08/03/1964,57,Unión Demócrata Independiente,UDI,1,J. Lavín,25/06/2021,https://twitter.com/Luzebensperger,.,
80,6,Diputado,Sergio Gahona,15/09/1965,56,Unión Demócrata Independiente,UDI,1,J. Lavín,20/05/2021,https://twitter.com/LavinJoaquin/status/1395414687760670720,.,
81,6,Diputado,María J. Hoffman,28/12/1976,45,Unión Demócrata Independiente,UDI,1,J. Lavín,19/05/2021,https://twitter.com/udipopular/status/1395129513705623553,.,
82,6,Diputado,Joaquín Lavín,25/05/1979,42,Unión Demócrata Independiente,UDI,1,J. Lavín,,,,
83,6,Diputado,Javier Macaya,11/11/1978,43,Unión Demócrata Independiente,UDI,1,J. Lavín,19/05/2021,https://twitter.com/udipopular/status/1395129513705623553,.,
84,6,Diputado,Ramón Barros,05/03/1958,63,Unión Demócrata Independiente,UDI,1,J. Lavín,25/06/2021,https://twitter.com/memobarros/status/1407171203635220489,.,
85,6,Diputado,Juan M. Masferrer,09/05/1980,41,Unión Demócrata Independiente,UDI,1,J. Lavín,25/06/2021,https://twitter.com/juanmasferrer/status/1407196608983408640,.,
86,6,Diputado,Cristián Labbe,06/03/1980,41,Unión Demócrata Independiente,UDI,1,J. Lavín,25/06/2021,https://twitter.com/Clabbem/status/1407188141920952320,.,
87,6,Diputado,Celso Morales,10/07/1957,64,Unión Demócrata Independiente,UDI,1,J. Lavín,25/06/2021,https://twitter.com/Celsomorales/status/1407171717399785474,.,
88,6,Diputado,Gustavo Sanhueza,10/12/1966,55,Unión Demócrata Independiente,UDI,1,J. Lavín,25/06/2021,https://twitter.com/gustavosanhuez,.,
89,6,Diputado,Renzo Trisotti,15/03/1976,45,Unión Demócrata Independiente,UDI,1,J. Lavín,25/06/2021,https://twitter.com/RenzoTrisotti,.,
90,6,Diputado,Osvaldo Urrutia,28/11/1951,70,Unión Demócrata Independiente,UDI,1,J. Lavín,25/06/2021,https://twitter.com/urrutiaosvaldo/status/1407180890443337729,.,
91,6,Diputado,Juan A. Coloma A.,14/03/1980,41,Unión Demócrata Independiente,UDI,1,J. Lavín,25/06/2021,https://twitter.com/Tono_Coloma/status/1407166877286215682,.,
92,6,Diputado,Enrique v. Rysselberghe,17/09/1976,45,Unión Demócrata Independiente,UDI,1,J. Lavín,25/06/2021,https://twitter.com/vanrysselberghe,.,
93,7,Alcalde,Daniela Peñaloza,,,Unión Demócrata Independiente,UDI,1,J. Lavín,,,,
94,9,Constituyente,Constanza Hube,,,,UDI,1,J. Lavín,25-06-2021,,,
95,9,Constituyente,Carol Bown,,,,UDI,1,J. Lavín,25-06-2021,https://twitter.com/CarolCBown,.,
96,9,Constituyente,Marcela Cubillos,,,,UDI-IND,1,J. Lavín,25-06-2021,https://twitter.com/mcubillossigall/status/1404153724562456576,.,
97,6,Diputado,Ignacio Urrutia,16/09/1957,64,Partido Republicano,REP,1,JA. Kast,26/04/2019,https://www.elmostrador.cl/noticias/sin-editar/2019/04/26/un-nuevo-diputado-para-kast/,.,
98,6,Diputado,Francesca Muñoz,07/03/1980,41,Renovación Nacional,RN,1,JA. Kast,26/04/2019,https://www.elmostrador.cl/noticias/sin-editar/2019/04/26/un-nuevo-diputado-para-kast/,.,
99,6,Diputado,Eduardo Durán,01/01/1972,49,Renovación Nacional,RN,1,JA. Kast,26/04/2019,https://www.elmostrador.cl/noticias/sin-editar/2019/04/26/un-nuevo-diputado-para-kast/,.,
100,6,Diputado,Camila Flores,09/02/1987,34,Renovación Nacional,RN,1,JA. Kast,26/04/2019,https://www.elmostrador.cl/noticias/sin-editar/2019/04/26/un-nuevo-diputado-para-kast/,.,
101,6,Diputado,Carlos Ignacio,16/03/1953,68,Renovación Nacional,RN,1,JA. Kast,26/04/2019,https://www.elmostrador.cl/noticias/sin-editar/2019/04/26/un-nuevo-diputado-para-kast/,.,
