id,orden,fecha,Cargo,Nombre,fn,edad,Partido,Partido,Estado,fecha_endoso,link,link
237,7,28/10/2020,Diputado,Sergio Bobadilla Muñoz,25/03/1958,62,Unión Demócrata Independiente,UDI,Sin info,,,
238,7,28/10/2020,Diputado,Álvaro Carter Fernández,09/10/1980,40,Independiente,IND,Sin info,,,
239,7,28/10/2020,Diputado,Juan Manuel Fuenzalida Cobo,01/07/1973,47,Unión Demócrata Independiente,UDI,Sin info,,,
240,7,28/10/2020,Diputado,Sergio Gahona Salazar,15/09/1965,55,Unión Demócrata Independiente,UDI,Sin info,,,
241,7,28/10/2020,Diputado,Javier Hernández Hernández,07/08/1954,66,Unión Demócrata Independiente,UDI,Sin info,,,
242,7,28/10/2020,Diputado,Maria José Hoffmann Opazo,28/12/1976,44,Unión Demócrata Independiente,UDI,Sin info,,,
243,7,28/10/2020,Diputado,Isaa Kort Garriga,09/05/1980,40,Unión Demócrata Independiente,UDI,Sin info,,,
244,7,28/10/2020,Diputado,Joaquín Lavín León,25/05/1979,41,Unión Demócrata Independiente,UDI,Sin info,,,
245,7,28/10/2020,Diputado,Javier Macaya Danús,11/11/1978,42,Unión Demócrata Independiente,UDI,Sin info,,,
246,7,28/10/2020,Diputado,Patricio Melero Abaroa,19/06/1956,64,Unión Demócrata Independiente,UDI,Sin info,,,
247,7,28/10/2020,Diputado,Celso Morales Muñoz,10/07/1957,63,Unión Demócrata Independiente,UDI,Sin info,,,
248,7,28/10/2020,Diputado,Nicolás Noman Garrido,07/05/1981,39,Unión Demócrata Independiente,UDI,Sin info,,,
249,7,28/10/2020,Diputado,Iván Norambuena Farías,04/09/1958,62,Unión Demócrata Independiente,UDI,Sin info,,,
250,7,28/10/2020,Diputado,Guillermo Ramírez Diez,16/04/1979,41,Unión Demócrata Independiente,UDI,Sin info,,,
251,7,28/10/2020,Diputado,Rolando Rentería Moller,19/08/1968,52,Unión Demócrata Independiente,UDI,Sin info,,,
252,7,28/10/2020,Diputado,Gustavo Sanhueza Dueñas,10/12/1966,54,Unión Demócrata Independiente,UDI,Sin info,,,
253,7,28/10/2020,Diputado,Renzo Trisotti Martínez,15/03/1976,44,Unión Demócrata Independiente,UDI,Sin info,,,
254,7,28/10/2020,Diputado,Virginia Troncoso Hellman,18/02/1951,69,Independiente,IND,Sin info,,,
255,7,28/10/2020,Diputado,Osvaldo Urrutia Soto,28/11/1951,69,Unión Demócrata Independiente,UDI,Sin info,,,
256,7,28/10/2020,Diputado,Gastón Von Muhlenbrock Zamora,26/12/1954,66,Unión Demócrata Independiente,UDI,Sin info,,,
257,7,28/10/2020,Diputado,Jorge Alessandri Vergara,08/06/1979,41,Unión Demócrata Independiente,UDI,Sin info,,,
258,7,28/10/2020,Diputado,Pedro Alvarez-Salamanca Ramírez,18/02/1976,44,Unión Demócrata Independiente,UDI,Sin info,,,
259,7,28/10/2020,Diputado,Juan Antonio Coloma Álamos,14/03/1980,40,Unión Demócrata Independiente,UDI,Sin info,,,
260,7,28/10/2020,Diputado,Cristián Moreira Barros,05/09/1961,59,Unión Demócrata Independiente,UDI,Sin info,,,
261,7,28/10/2020,Diputado,Ignacio Urrutia Bonilla,16/09/1957,63,Partido Republicano,PREP,Sin info,,,
262,7,28/10/2020,Diputado,Enrique Van Rysselberghe Herrera,17/09/1976,44,Unión Demócrata Independiente,UDI,Sin info,,,
263,7,28/10/2020,Diputado,Nora Cuevas Contreras,04/01/1959,61,Unión Demócrata Independiente,UDI,Sin info,,,
